r1.time,r1.pontos,r1.vitorias,r1.empates,r1.derrotas,r1.golsPro,r1.golsContra,r1.saldoGols,r1.posicaoAtual,r2.time,r2.pontos,r2.vitorias,r2.empates,r2.derrotas,r2.golsPro,r2.golsContra,r2.saldoGols,r2.posicaoAtual,r1.ultima
Bragantino,13,2,7,7,17,24,-7,19,Sport,20,6,2,8,18,24,-6,11,1
Corinthians,18,4,6,6,18,20,-2,15,Flamengo,31,9,4,3,25,18,7,3,-1
Inter-RS,31,9,4,3,26,13,13,2,Vasco,20,5,5,6,19,21,-2,12,1
Bahia,16,4,4,8,19,24,-5,17,Atlético-MG,31,10,1,5,30,19,11,1,1
Coritiba,16,4,4,8,13,20,-7,18,Santos,24,6,6,4,21,18,3,6,-1
Fortaleza,22,5,7,4,14,11,3,9,Palmeiras,23,5,8,3,20,19,1,8,1
Atlético-GO,21,5,6,5,16,20,-4,10,Athletico-PR,18,5,3,8,13,16,-3,14,0
Fluminense,26,7,5,5,25,20,5,6,Santos,27,7,6,4,23,19,4,5,1
Vasco,20,5,5,7,19,23,-4,13,Corinthians,18,4,6,7,19,25,-6,17,-1
São Paulo,31,8,7,2,24,14,10,4,Botafogo,19,3,10,4,17,20,-3,16,1
Bragantino,16,3,7,7,19,24,-5,19,Goiás,11,2,5,10,20,33,-13,20,1
Atlético-MG,31,10,1,6,31,22,9,3,Sport,20,6,2,9,18,26,-8,11,0
Inter-RS,34,10,4,3,28,13,15,1,Flamengo,34,10,4,3,30,19,11,2,0
Bahia,19,5,4,8,22,25,-3,14,Fortaleza,25,6,7,4,16,11,5,7,1
Athletico-PR,19,5,4,8,14,17,-3,15,Grêmio,24,5,9,3,19,16,3,8,-1
Ceará,20,5,5,7,20,24,-4,12,Coritiba,16,4,4,9,14,22,-8,18,1
Atlético-GO,22,5,7,5,17,21,-4,10,Palmeiras,23,5,8,4,20,21,-1,9,-1
Flamengo,35,10,5,3,32,21,11,2,São Paulo,34,9,7,2,28,14,14,3,-1
Botafogo,19,3,10,5,17,24,-7,18,Ceará,23,6,5,7,22,25,-3,10,0
Palmeiras,26,6,8,4,23,21,2,8,Atlético-MG,32,10,2,6,31,22,9,4,1
Santos,27,7,6,5,24,22,2,6,Bahia,22,6,4,8,24,26,-2,11,1
Corinthians,21,5,6,7,21,26,-5,14,Inter-RS,35,10,5,3,30,15,15,1,1
Grêmio,27,6,9,3,21,17,4,7,Bragantino,19,4,7,7,21,24,-3,17,1
Sport,21,6,3,9,18,26,-8,13,Athletico-PR,19,5,4,9,15,19,-4,16,1
Coritiba,16,4,4,10,15,24,-9,19,Atlético-GO,22,5,7,6,17,24,-7,12,1
Fortaleza,25,6,7,5,17,13,4,9,Fluminense,29,8,5,5,28,21,7,5,-1
Goiás,11,2,5,11,20,35,-15,20,Vasco,20,5,5,8,20,25,-5,15,0
Fluminense,32,9,5,5,29,21,8,5,Grêmio,30,7,9,3,23,18,5,7,-1
Vasco,21,5,6,8,21,26,-5,15,Palmeiras,29,7,8,4,26,21,5,8,-1
São Paulo,37,10,7,2,32,15,17,1,Goiás,12,2,6,11,21,36,-15,20,1
Bragantino,19,4,7,8,22,26,-4,19,Santos,30,8,6,5,27,23,4,6,0
Atlético-MG,32,10,2,7,31,25,6,4,Flamengo,35,10,5,4,33,25,8,3,1
Inter-RS,35,10,5,4,30,16,14,2,Coritiba,19,5,4,10,16,24,-8,18,0
Bahia,22,6,4,9,25,29,-4,13,Botafogo,20,3,11,5,19,26,-7,16,1
Athletico-PR,19,5,4,10,15,20,-5,17,Fortaleza,25,6,7,6,17,14,3,9,1
Ceará,24,6,6,7,24,27,-3,11,Sport,24,7,3,9,19,26,-7,10,0
Atlético-GO,22,5,7,7,17,25,-8,14,Corinthians,24,6,6,7,22,26,-4,12,0
Flamengo,35,10,5,5,33,29,4,4,Atlético-GO,23,5,8,7,18,26,-8,14,0
Botafogo,20,3,11,6,19,27,-8,19,Bragantino,20,4,8,8,23,27,-4,18,-1
Palmeiras,32,8,8,4,27,21,6,7,Fluminense,32,9,5,6,29,22,7,6,1
Santos,31,8,7,5,28,24,4,8,Inter-RS,36,10,6,4,32,18,14,2,1
Corinthians,25,6,7,7,23,27,-4,13,Atlético-MG,35,11,2,7,35,25,10,3,-1
Grêmio,33,8,9,3,24,18,6,5,Ceará,25,6,7,7,24,27,-3,12,1
Sport,25,7,4,9,19,26,-7,10,Vasco,21,5,6,9,21,27,-6,16,-1
Coritiba,20,5,5,10,18,26,-8,17,Bahia,25,7,4,9,26,29,-3,9,-1
Fortaleza,25,6,7,7,18,16,2,11,São Paulo,40,11,7,2,34,16,18,1,-1
Goiás,12,2,6,12,22,38,-16,20,Athletico-PR,22,6,4,10,17,21,-4,15,-1
Flamengo,36,10,6,5,34,30,4,4,Coritiba,20,5,5,11,19,28,-9,18,1
Botafogo,20,3,11,7,20,29,-9,19,Fortaleza,25,6,7,8,20,19,1,12,-1
São Paulo,43,12,7,2,37,18,19,1,Vasco,24,6,6,9,23,27,-4,15,0
Bragantino,23,5,8,8,25,28,-3,17,Bahia,28,8,4,9,28,30,-2,9,1
Corinthians,25,6,7,8,24,29,-5,14,Grêmio,36,9,9,3,28,20,8,5,0
Inter-RS,36,10,6,5,32,20,12,3,Fluminense,32,9,5,7,29,24,5,8,-1
Sport,25,7,4,10,19,28,-9,11,Atlético-GO,24,5,9,7,19,27,-8,16,-1
Athletico-PR,25,7,4,10,18,21,-3,10,Santos,34,9,7,5,30,24,6,7,1
Ceará,25,6,7,8,26,31,-5,13,Atlético-MG,38,12,2,7,37,26,11,2,0
Goiás,12,2,6,13,22,39,-17,20,Palmeiras,35,9,8,4,29,21,8,6,1
Fluminense,35,10,5,7,31,25,6,6,Bragantino,26,6,8,8,29,28,1,13,0
Vasco,25,6,7,9,24,28,-4,17,Ceará,26,6,8,8,28,33,-5,14,-1
Palmeiras,35,9,8,5,29,22,7,7,Athletico-PR,28,8,4,10,19,21,-2,9,1
Santos,34,9,7,6,30,25,5,8,Sport,25,7,4,11,19,29,-10,16,1
Atlético-MG,39,12,3,7,39,28,11,2,Botafogo,20,3,11,8,21,31,-10,19,1
Grêmio,37,9,10,3,28,20,8,4,Flamengo,39,11,6,5,37,31,6,3,-1
Bahia,28,8,4,10,28,34,-6,10,São Paulo,44,12,8,2,38,19,19,1,-1
Coritiba,20,5,5,12,20,31,-11,18,Corinthians,26,6,8,8,24,29,-5,15,-1
Fortaleza,28,7,7,8,22,20,2,11,Goiás,15,3,6,13,23,39,-16,20,0
Atlético-GO,27,6,9,7,20,27,-7,12,Inter-RS,36,10,6,6,33,22,11,5,0
Fluminense,36,10,6,7,31,25,6,8,Athletico-PR,28,8,4,11,19,24,-5,12,1
Botafogo,20,3,11,9,22,33,-11,19,Flamengo,42,12,6,5,41,33,8,3,-1
São Paulo,47,13,8,2,41,20,21,1,Sport,25,7,4,12,21,33,-12,16,1
Santos,37,10,7,6,34,27,7,6,Palmeiras,38,10,8,5,32,22,10,4,0
Atlético-MG,42,13,3,7,41,29,12,2,Inter-RS,37,10,7,6,33,22,11,5,0
Grêmio,37,9,10,4,30,24,6,7,Vasco,25,6,7,10,25,32,-7,17,1
Bahia,28,8,4,11,29,37,-8,13,Ceará,29,7,8,8,32,34,-2,10,-1
Coritiba,20,5,5,13,20,32,-12,18,Bragantino,27,6,9,8,29,28,1,15,0
Fortaleza,29,7,8,8,23,21,2,9,Corinthians,29,7,8,8,25,29,-4,11,0
Atlético-GO,28,6,10,7,20,27,-7,14,Goiás,16,3,7,13,24,40,-16,20,-1
Flamengo,45,13,6,5,42,33,9,2,Santos,38,10,8,6,36,29,7,8,1
Vasco,25,6,7,11,25,36,-11,17,Fluminense,39,11,6,7,34,26,8,5,0
Palmeiras,39,10,9,5,34,24,10,6,Bahia,28,8,4,12,29,39,-10,13,1
Bragantino,28,6,10,8,29,28,1,14,Fortaleza,30,7,9,8,23,21,2,10,1
Corinthians,30,7,9,8,25,29,-4,11,São Paulo,50,14,8,2,42,20,22,1,1
Inter-RS,38,10,8,6,35,24,11,7,Botafogo,20,3,11,10,22,34,-12,19,1
Sport,25,7,4,13,21,34,-13,16,Coritiba,21,5,6,13,20,32,-12,18,1
Athletico-PR,28,8,4,12,20,27,-7,12,Atlético-MG,43,13,4,7,43,31,12,3,-1
Ceará,32,8,8,8,34,34,0,9,Atlético-GO,28,6,10,8,20,28,-8,15,-1
Goiás,19,4,7,13,25,40,-15,20,Grêmio,40,10,10,4,34,24,10,4,0
Flamengo,48,14,6,5,46,34,12,2,Bahia,28,8,4,13,29,42,-13,16,1
Vasco,26,6,8,11,26,37,-11,17,Santos,38,10,8,7,37,33,4,8,1
São Paulo,50,14,8,3,42,21,21,1,Atlético-MG,46,14,4,7,44,31,13,3,1
Bragantino,31,7,10,8,31,29,2,11,Athletico-PR,28,8,4,13,20,28,-8,14,-1
Corinthians,33,8,9,8,26,29,-3,9,Goiás,20,4,8,13,25,40,-15,19,1
Inter-RS,41,11,8,6,37,25,12,5,Palmeiras,42,11,9,5,37,24,13,4,1
Sport,28,8,4,13,22,34,-12,15,Grêmio,41,10,11,4,34,24,10,6,0
Coritiba,21,5,6,14,20,33,-13,18,Botafogo,20,3,11,11,23,36,-13,20,-1
Fortaleza,30,7,9,9,24,23,1,13,Ceará,32,8,8,9,35,36,-1,10,-1
Atlético-GO,31,7,10,8,22,29,-7,12,Fluminense,40,11,7,7,35,27,8,7,1
Fluminense,40,11,7,8,36,29,7,7,São Paulo,53,15,8,3,45,21,24,1,-1
Botafogo,23,4,11,11,25,37,-12,18,Corinthians,36,9,9,8,28,30,-2,9,-1
Palmeiras,42,11,9,6,37,26,11,5,Bragantino,31,7,10,9,31,30,1,13,1
Santos,38,10,8,8,37,34,3,8,Ceará,35,9,8,9,37,36,1,10,0
Atlético-MG,46,14,4,8,44,34,10,3,Coritiba,21,5,6,15,21,35,-14,19,1
Grêmio,42,10,12,4,35,25,10,6,Atlético-GO,34,8,10,8,24,30,-6,11,1
Bahia,28,8,4,14,32,46,-14,17,Inter-RS,44,12,8,6,39,25,14,4,-1
Athletico-PR,31,9,4,13,21,28,-7,12,Vasco,29,7,8,11,27,37,-10,16,1
Fortaleza,30,7,9,10,24,25,-1,14,Flamengo,51,15,6,5,50,37,13,2,0
Goiás,20,4,8,14,26,42,-16,20,Sport,29,8,5,13,23,35,-12,15,1
Flamengo,52,15,7,5,50,37,13,2,Fluminense,40,11,7,9,37,31,6,7,-1
Botafogo,23,4,11,12,25,39,-14,19,Athletico-PR,34,10,4,13,24,28,-4,11,-1
Palmeiras,45,12,9,6,38,26,12,5,Corinthians,39,10,9,8,30,30,0,9,1
Bragantino,31,7,10,10,31,31,0,13,São Paulo,56,16,8,3,47,22,25,1,1
Atlético-MG,49,15,4,8,46,34,12,3,Santos,39,10,9,8,38,35,3,8,1
Grêmio,45,11,12,4,37,26,11,6,Bahia,28,8,4,15,33,48,-15,17,1
Sport,29,8,5,14,23,36,-13,15,Fortaleza,31,7,10,10,24,25,-1,14,1
Coritiba,21,5,6,16,21,37,-16,20,Goiás,23,5,8,14,27,42,-15,18,-1
Ceará,36,9,9,9,38,37,1,10,Inter-RS,47,13,8,6,41,26,15,4,-1
Atlético-GO,34,8,10,9,25,32,-7,12,Vasco,29,7,8,12,27,40,-13,16,0
