r1.time,r1.pontos,r1.vitorias,r1.empates,r1.derrotas,r1.golsPro,r1.golsContra,r1.saldoGols,r1.posicaoAtual,r2.time,r2.pontos,r2.vitorias,r2.empates,r2.derrotas,r2.golsPro,r2.golsContra,r2.saldoGols,r2.posicaoAtual,r1.ultima
Corinthians,48,13,9,12,41,40,1,9,Athletico-PR,46,13,7,14,31,31,0,11,0
Inter-RS,66,19,9,6,57,31,26,1,Sport,38,11,5,18,27,44,-17,14,-1
Bahia,36,10,6,18,38,55,-17,17,Goiás,32,8,8,18,34,56,-22,18,0
Coritiba,28,6,10,18,28,47,-19,19,Palmeiras,54,14,12,8,47,33,14,6,1
Fortaleza,38,9,11,14,31,35,-4,15,Vasco,37,9,10,15,34,49,-15,16,1
Atlético-GO,45,11,12,11,34,40,-6,13,Santos,49,13,10,11,48,47,1,8,0
Flamengo,65,19,8,8,63,44,19,2,Corinthians,49,13,10,12,44,43,1,9,1
Vasco,37,9,10,16,34,52,-18,17,Inter-RS,66,19,9,7,58,33,25,1,-1
Palmeiras,54,14,12,9,47,34,13,7,Fortaleza,41,10,11,14,34,35,-1,15,1
Santos,50,13,11,11,49,48,1,8,Coritiba,31,7,10,18,29,47,-18,19,1
Atlético-MG,61,18,7,10,58,42,16,3,Bahia,37,10,7,18,41,58,-17,16,0
Grêmio,56,13,17,5,51,37,14,6,São Paulo,60,16,12,7,55,38,17,4,-1
Sport,41,12,5,18,29,45,-16,14,Bragantino,48,12,12,11,49,40,9,10,0
Athletico-PR,47,13,8,14,34,34,0,11,Atlético-GO,46,11,13,11,35,41,-6,13,1
Ceará,46,12,10,13,49,47,2,12,Fluminense,57,16,9,10,49,40,9,5,-1
Goiás,33,8,9,18,37,59,-22,18,Botafogo,24,4,12,19,30,58,-28,20,1
Flamengo,68,20,8,8,65,45,20,2,Inter-RS,69,20,9,7,60,33,27,1,1
Botafogo,24,4,12,20,30,60,-30,20,São Paulo,63,17,12,7,57,39,18,3,1
Palmeiras,57,15,12,9,50,34,16,6,Atlético-GO,46,11,13,12,36,43,-7,13,0
Santos,53,14,11,11,51,48,3,8,Fluminense,60,17,9,10,52,41,11,5,0
Corinthians,49,13,10,13,45,45,0,10,Vasco,37,9,10,17,34,54,-20,17,0
Grêmio,56,13,17,6,52,39,13,7,Athletico-PR,50,14,8,14,36,35,1,9,1
Sport,42,12,6,18,29,45,-16,14,Atlético-MG,62,18,8,10,59,43,16,4,-1
Coritiba,31,7,10,19,29,49,-20,19,Ceará,46,12,10,14,50,50,0,12,-1
Fortaleza,41,10,11,15,34,38,-4,15,Bahia,38,10,8,18,42,59,-17,16,-1
Goiás,36,9,9,18,39,59,-20,18,Bragantino,49,12,13,11,49,40,9,11,0
Fluminense,61,17,10,10,53,42,11,5,Fortaleza,41,10,11,16,34,42,-8,16,1
Vasco,38,9,11,17,34,54,-20,17,Goiás,37,9,10,18,39,59,-20,18,1
São Paulo,63,17,12,8,57,40,17,4,Flamengo,71,21,8,8,67,46,21,1,1
Bragantino,50,12,14,11,49,40,9,11,Grêmio,59,14,17,6,53,39,14,6,1
Atlético-MG,65,19,8,10,62,45,17,3,Palmeiras,58,15,13,9,51,35,16,7,1
Inter-RS,69,20,9,8,61,35,26,2,Corinthians,50,13,11,13,45,45,0,10,0
Bahia,41,11,8,18,46,59,-13,15,Santos,54,14,12,11,52,49,3,8,1
Athletico-PR,50,14,8,15,36,36,0,9,Sport,42,12,6,19,31,48,-17,14,1
Ceará,49,13,10,14,52,50,2,12,Botafogo,27,5,12,20,31,60,-29,20,1
Atlético-GO,47,11,14,12,37,44,-7,13,Coritiba,31,7,10,20,29,51,-22,19,1
